Tabelle: 23211-0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;
;;Altersgruppen;;;;;;;;;;;;;;;;;;Altersgruppen;;;;;;;;;;;;;;;;;
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDU-111;Chronische Polyarthritis und Arthrose;-;-;-;.;-;-;-;-;.;3;12;13;24;24;42;85;153;-;-;-;-;-;-;-;-;.;.;.;14;17;27;61;82;195;539;-
TDU-12;Krankheiten des Urogenitalsystems;-;.;.;4;.;9;16;19;37;80;199;378;644;1048;1403;2934;6758;-;-;3;-;-;3;.;3;17;21;64;144;223;443;718;1134;2870;9690;-
TDU-121;Krankheiten der Niere;-;.;.;4;.;6;11;14;25;55;124;248;398;660;891;1893;4522;-;-;.;-;-;3;.;3;9;14;41;96;136;279;440;743;1951;7040;-
TDU-13;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;3;7;9;5;4;-;.;-;-;-;-;-;-;-;-
TDU-14;Best.Zustände mit Ursprung in der Perinatalperiode;682;11;.;.;4;8;5;.;9;3;12;16;16;7;5;8;.;-;541;7;-;.;3;3;5;3;3;3;6;14;12;11;5;7;4;-
TDU-15;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;343;103;23;25;23;33;30;25;35;74;141;116;76;51;31;36;53;-;308;106;21;19;16;15;21;28;39;56;104;115;73;54;53;60;85;-
TDU-151;Angeborene Fehlbildungen des Nervensystems;24;27;7;4;3;5;.;4;6;.;5;.;.;5;-;-;.;-;27;28;5;5;.;.;5;7;6;4;3;3;-;.;3;.;.;-
TDU-152;Angeborene Fehlbildungen des Kreislaufsystems;118;35;10;10;9;8;11;9;6;15;19;20;19;17;17;12;24;-;99;25;6;5;6;6;3;6;9;14;15;12;19;16;25;32;33;-
TDU-16;Symptome und abnorme klinische und Laborbefunde;107;44;48;115;127;180;327;482;598;1019;1704;2260;2462;2154;1689;1926;2969;-;75;57;27;44;65;64;150;161;229;301;502;872;1006;1226;1186;1876;5293;-
TDU-161;Plötzlicher Kindstod;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
TDU-162;Sonst. ungenau bezeichnete u. unbek. Todesursachen;62;41;48;112;123;174;319;468;579;985;1628;2178;2323;2015;1574;1701;2093;-;37;56;27;43;64;58;149;153;224;288;470;828;945;1131;1076;1565;2959;-
TDU-17;Äußere Ursachen von Morbidität und Mortalität;14;100;364;579;634;635;776;836;883;1038;1611;1952;2000;2123;2177;4167;8035;-;17;80;124;163;133;141;204;250;235;392;619;684;881;1220;1624;3595;10622;-
TDU-171;Unfälle u. med. Komplikationen einschl. Spätfolgen;9;86;215;343;290;285;346;382;426;524;798;1100;1258;1464;1670;3344;7006;-;9;46;58;71;61;57;90;102;110;163;299;414;604;931;1332;3150;9938;-
TDU-1711;Transportmittelunfälle;-;37;128;189;130;112;127;101;114;140;196;195;193;159;149;191;193;-;-;17;34;38;27;18;29;26;23;40;61;47;59;93;62;106;115;-
TDU-1712;Stürze;.;9;14;15;18;23;38;69;82;132;221;418;550;768;979;2162;4953;-;.;.;.;.;6;9;7;20;25;40;99;154;274;477;785;2044;6777;-
TDU-1713;Ertrinken und Untergehen;.;15;6;18;13;14;17;7;9;17;21;26;25;27;21;34;32;-;.;8;.;.;3;.;5;5;6;.;10;16;15;15;17;17;24;-
TDU-1714;Exposition gegenüber Rauch, Feuer und Flammen;-;.;3;3;7;.;7;6;13;10;21;27;29;20;19;26;30;-;-;-;.;-;.;.;4;-;.;11;7;12;12;21;14;23;28;-
TDU-1715;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);-;.;43;88;80;87;94;114;104;88;76;70;54;23;24;26;44;-;-;4;14;18;15;18;25;29;27;29;30;29;21;17;23;28;57;-
TDU-172;Vorsätzliche Selbstbeschädigung;-;7;136;203;301;299;363;396;398;465;749;756;656;582;460;748;895;-;-;21;52;75;66;70;97;118;115;200;288;245;234;248;249;363;517;-
TDU-173;Tätlicher Angriff;3;6;7;14;15;18;20;14;24;12;21;24;16;13;6;4;6;-;7;10;8;10;3;12;10;13;6;13;13;9;14;9;7;15;18;-
TDU-174;Ereignis, dessen nähere Umstände unbestimmt sind;.;.;6;17;25;29;46;40;33;34;40;63;69;55;37;70;122;-;.;3;5;6;3;.;5;16;4;16;18;13;27;27;35;63;142;-
TDU-18;COVID-19, Virus nachgewiesen;-;5;.;.;5;7;7;12;17;35;95;186;356;570;845;1659;3078;-;4;3;-;3;.;-;5;8;17;36;59;113;216;362;497;1003;2669;-
TDU-19;COVID-19, Virus nicht nachgewiesen;-;-;-;-;-;-;-;-;-;-;-;-;.;3;.;5;9;-;.;-;-;-;-;-;.;-;-;-;-;.;-;.;.;.;8;-
